rdo,city_municipality,barangay,street_subdivision,vicinity,classification,zonal_value
80,MANDAUE CITY,BASAK,CORTES SUBDIVISIONS,,RR,11420.0
80,MANDAUE CITY,BASAK,RAJAH TOWN HOMES,(CEBU COUNTRYSIDE SUBD.),RR,13600.0
80,MANDAUE CITY,BASAK,SMC VILLAGE,,RR,11650.0
80,MANDAUE CITY,BASAK,PALM HILLS SUBDIVISION,,RR,12250.0
80,MANDAUE CITY,CABANCALAN,ELIAS CORTES,ML QUEZON-BUTUANON RIVER,CR,13700.0
80,MANDAUE CITY,CABANCALAN,ELIAS CORTES,,RR,10000.0
80,MANDAUE CITY,CABANCALAN,ELIAS CORTES,,I,11950.0
80,MANDAUE CITY,CABANCALAN,ELIAS CORTES,INTERIOR,RR,7100.0
80,MANDAUE CITY,CABANCALAN,ML QUEZON,GREENHILLS-NPC,CR,42500.0
80,MANDAUE CITY,CABANCALAN,ML QUEZON,,RR,25000.0
80,MANDAUE CITY,CABANCALAN,ML QUEZON,,I,35000.0
80,MANDAUE CITY,CABANCALAN,ML QUEZON,INTERIOR,RR,10000.0
80,MANDAUE CITY,CABANCALAN,SITIO PILIT,,CR,14800.0
80,MANDAUE CITY,CABANCALAN,SITIO PILIT,,RR,10500.0
80,MANDAUE CITY,CABANCALAN,SITIO PILIT,,I,11600.0
80,MANDAUE CITY,CABANCALAN,SITIO PILIT,INTERIOR,RR,6500.0
80,MANDAUE CITY,CABANCALAN,ALL OTHERS STREETS,,CR,15950.0
80,MANDAUE CITY,CABANCALAN,ALL OTHERS STREETS,,RR,11750.0
80,MANDAUE CITY,CABANCALAN,ALL OTHERS STREETS,,I,14150.0
80,MANDAUE CITY,CABANCALAN,ALL OTHERS STREETS,INTERIOR,RR,7350.0
80,MANDAUE CITY,CABANCALAN,AGRO-MACRO SUBD PH I,ML QUEZON,RR,23000.0
80,MANDAUE CITY,CABANCALAN,AGRO-MACRO SUBD PH II,ML QUEZON,RR,24000.0
80,MANDAUE CITY,CABANCALAN,CEBU GREENWAY BUSINESS PARK,,RR,17100.0
80,MANDAUE CITY,CABANCALAN,GARDEN RIDGE SUBD,ML QUEZON,RR,19000.0
80,MANDAUE CITY,CABANCALAN,GREENHILLS SUBD,ML QUEZON,CR,18000.0
80,MANDAUE CITY,CABANCALAN,GREENHILLS SUBD,,RR,15000.0
80,MANDAUE CITY,CABANCALAN,GREENHILLS SUBD,,I,16200.0
80,MANDAUE CITY,CABANCALAN,GREENHILLS SUBD,INTERIOR,RR,9480.0
80,MANDAUE CITY,CABANCALAN,HIDDEN HOMES SUBD,,RR,12600.0
80,MANDAUE CITY,CABANCALAN,NORTH TOWN WOODS SUBD,,RR,22500.0
80,MANDAUE CITY,CABANCALAN,NORTH TOWN HOMES (PHASE IV A),,RR,23900.0
80,MANDAUE CITY,CABANCALAN,NORTH TOWN HOMES (PHASEIV B),,RR,23900.0
80,MANDAUE CITY,CABANCALAN,BF NORTHVILLE SUBDIVISION,,RR,22550.0
80,MANDAUE CITY,CABANCALAN,EMERALD ESTATE,,RR,22550.0
80,MANDAUE CITY,CABANCALAN,ST. THERESE HOMES I,,RR,20050.0
80,MANDAUE CITY,CABANCALAN,ST. THERESE HOMES II,,RR,20050.0
80,MANDAUE CITY,CABANCALAN,ALL OTHER SUBDIVISIONS,,RR,10000.0
80,MANDAUE CITY,CAMBARO,A. C. CORTES AVENUE (MACTAN ROAD),PLARIDEL-ISLA DE PALMA (BRIDGE),CR,40000.0
80,MANDAUE CITY,CAMBARO,A. C. CORTES AVENUE (MACTAN ROAD),,I,36000.0
80,MANDAUE CITY,CAMBARO,A. C. CORTES AVENUE (MACTAN ROAD),INTERIOR W/ CAR ACCESS,RR,15700.0
80,MANDAUE CITY,CAMBARO,GERARDO OUANO ST.,PLARIDEL ST. TO BOUNDARY OF BRGY. OPAO,CR,20000.0
80,MANDAUE CITY,CAMBARO,GERARDO OUANO ST.,,RR,10000.0
80,MANDAUE CITY,CAMBARO,GERARDO OUANO ST.,,I,18000.0
80,MANDAUE CITY,CAMBARO,GERARDO OUANO ST.,INTERIOR,RR,8000.0
80,MANDAUE CITY,CAMBARO,PLARIDEL STREET,F.MENDOZA ST. - G OUANO ST.,CR,40500.0
