property_id,price_type,property_name,address,city,property_type,latitude,longitude,price_php,price_per_sqm,log_price,valuation_gap,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_airport_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite,bir_zonal_rr_median,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
3135,open_market,Condo Unit,"Robinsons Galleria Cebu, Cebu City, Philippines",Cebu City,Condominium,10.303804,123.91135989999998,2600000.0,75362.31884057971,11.230062678954397,23112.318840579712,34.5,0.0,1.0,0,0,1857.5,5384.1,8272.1,7503.3,11801.5,11776.1,21318.3,7408.4,94,715,29.0082,69.5564,38.7182,3.2092,17.5161,4.9945,48.439,25.1811,40.8522,52250.0,10.863814308399895,99500.0,0,8815809.0
3136,open_market,Brand new Studio unit in Jones Cebu City,"West Jones Residences, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3038913,123.8944341,3500000.0,159090.9090909091,11.977231073101326,136590.9090909091,22.0,0.0,1.0,0,0,2380.9,6315.4,10581.7,6070.1,10368.3,13284.2,19885.1,9257.8,1995,554,68.0741,105.8258,88.5748,19.8175,35.0006,8.7474,134.9605,64.7639,74.7091,22500.0,10.021315031649332,53500.0,0,6304304.0
3137,open_market,1 bedroom condo for sale in tejero cebu,tejero cebu,Cebu City,Condominium,10.3039229,123.9073923,7600000.0,192405.06329113923,12.167358133349483,163405.06329113923,39.5,1.0,,0,1,1859.5,5640.5,9110.2,6903.2,11201.4,12057.1,20718.2,7841.3,574,465,39.9431,78.4548,46.8894,3.7617,27.8764,7.7324,68.4634,18.713,51.1101,29000.0,10.275085591132717,68000.0,0,8997389.0
3138,open_market,1 bedroom condo for sale in tejero cebu,tejero cebu,Cebu City,Condominium,10.3039229,123.9073923,8500000.0,175257.7319587629,12.074012923517108,146257.7319587629,48.5,1.0,,0,1,1859.5,5640.5,9110.2,6903.2,11201.4,12057.1,20718.2,7841.3,574,465,39.9431,78.4548,46.8894,3.7617,27.8764,7.7324,68.4634,18.713,51.1101,29000.0,10.275085591132717,68000.0,0,8907389.0
3139,open_market,1 bedroom condo for sale or rent in tejero cebu,tejero cebu,Cebu City,Condominium,10.3039229,123.9073923,9242427.0,228208.07407407407,12.338013097353324,199208.07407407407,40.5,1.0,,0,1,1859.5,5640.5,9110.2,6903.2,11201.4,12057.1,20718.2,7841.3,574,465,39.9431,78.4548,46.8894,3.7617,27.8764,7.7324,68.4634,18.713,51.1101,29000.0,10.275085591132717,68000.0,0,8833147.0
3141,open_market,Condominium,"Robinsons Galleria Cebu, Sergio Osme̱a Jr Boulevard, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3042607,123.9111991,1000000.0,39215.68627450981,10.576832105799895,-13034.313725490196,25.5,0.0,1.0,0,0,1770.3,5351.5,8375.1,7510.7,11808.9,11768.1,21325.7,7423.5,186,614,30.4321,70.5472,41.8038,3.4789,19.8985,5.3593,50.4644,31.9428,42.3594,52250.0,10.863814308399895,99500.0,0,8961263.0
3144,open_market,2 Bedroom Condo unit,"The Courtyards at Brookridge, Doctor Pablo U. Abella Street, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3046861,123.8792144,5700000.0,107547.16981132075,11.585684819252657,87547.16981132075,53.0,2.0,1.0,0,0,3683.3,7617.9,12220.1,5590.3,9567.6,14899.7,19084.4,10919.1,3992,1918,14.851,15.7348,13.7107,2.644,3.0358,2.0998,19.7141,2.7593,12.7408,20000.0,9.90353755128617,28046.0,0,2500000.0
3148,open_market,condo for sale in santa cruz cebu,santa cruz cebu,Cebu City,Condominium,10.3052424,123.8962355,5188000.0,235818.18181818185,12.370816371060156,213318.18181818185,22.0,,,1,1,2048.3,5982.8,10272.1,6193.8,10492.0,12951.6,20008.7,9056.0,1721,500,77.4228,130.6232,103.1992,18.6402,41.7121,9.0029,146.1886,72.641,88.9331,22500.0,10.021315031649332,53500.0,0,5316955.0
3150,open_market,1 bedroom condo for sale in santa cruz cebu,santa cruz cebu,Cebu City,Condominium,10.3052424,123.8962355,9623000.0,238193.0693069307,12.380836839371433,215693.0693069307,40.4,1.0,,0,1,2048.3,5982.8,10272.1,6193.8,10492.0,12951.6,20008.7,9056.0,1721,500,77.4228,130.6232,103.1992,18.6402,41.7121,9.0029,146.1886,72.641,88.9331,22500.0,10.021315031649332,53500.0,0,5115364.0
3152,open_market,Condo Studio Unit for SALE,"Ultima Residences Ramos Tower, Junquera Extension, Cebu City, Central Visayas, Philippines",Cebu City,Condominium,10.3055307,123.89726670000005,4000000.0,142857.14285714287,11.86960040890896,112857.14285714288,28.0,0.0,1.0,0,0,1922.5,5857.0,10215.8,6361.0,10659.2,12895.4,20175.9,8942.5,1724,597,69.3724,135.0388,103.7991,16.0635,46.5615,7.942,150.3686,90.4738,87.9345,30000.0,10.308985993422082,36000.0,0,5428796.0
