property_id,city,stratum,latitude,longitude,area_sqm,price_per_sqm,pred_price_per_sqm,bir_zonal_rr_median,listing_gap,model_gap,listing_gap_pct,model_gap_pct
197,Cebu City,Condominium,10.342605,123.896352,88.0,153409.0909090909,176578.76795657256,30000.0,123409.09090909091,146578.76795657256,411.3636363636363,488.5958931885752
199,Cebu City,Condominium,10.3157184,123.9015784,35.0,227166.85714285713,153394.58619657077,63000.0,164166.85714285713,90394.58619657077,260.5823129251701,143.48347015328696
200,Cebu City,Condominium,10.3329596,123.8948853,82.0,262195.1219512195,228845.71476777713,30000.0,232195.1219512195,198845.71476777713,773.9837398373983,662.8190492259238
201,Cebu City,Condominium,10.2972856,123.8882994,22.0,205115.18181818185,142232.70639792233,19500.0,185615.18181818185,122732.70639792233,951.8727272727274,629.3984943483197
203,Cebu City,Condominium,10.3149656,123.87423,32.0,150000.0,131411.8838886436,23700.0,126300.0,107711.88388864361,532.9113924050633,454.4805227368929
208,Cebu City,Condominium,10.3293875,123.9069196,104.0,197115.38461538465,205732.71636506732,30000.0,167115.38461538465,175732.71636506732,557.0512820512822,585.775721216891
214,Lapu-Lapu City,Condominium,10.28410958,123.97552209,34.0,175484.5,95856.32928296279,10000.0,165484.5,85856.32928296279,1654.8449999999998,858.5632928296279
219,Cebu City,Condominium,10.3173504,123.9059978,38.0,223684.2105263158,230776.7036029206,51250.0,172434.2105263158,179526.7036029206,336.45699614890884,350.29600703008896
231,Lapu-Lapu City,Condominium,10.3231321,124.0349024,161.0,287979.701863354,383617.6304905592,7000.0,280979.701863354,376617.6304905592,4013.9957409050576,5380.251864150846
232,Cebu City,Condominium,10.3506292,123.9135389,48.0,158563.25,192030.26628658318,26375.0,132188.25,165655.26628658318,501.18767772511853,628.0768390012632
233,Cebu City,Condominium,10.31700135,123.90449353,58.0,327586.2068965517,267157.6666259257,51250.0,276336.2068965517,215907.6666259257,539.1925988225399,421.28325195302574
234,Cebu City,Condominium,10.319731,123.9064672,386.0,173999.54404145078,221397.210577498,51250.0,122749.54404145078,170147.210577498,239.51130544673322,331.9945572243863
235,Cebu City,Condominium,10.3156992,123.8854366,431.0,302412.99303944316,77129.99238545934,23700.0,278712.99303944316,53429.992385459336,1176.0041900398444,225.44300584581998
237,Cebu City,Condominium,10.3196098,123.9113617,33.0,336900.0,141069.252392464,40600.0,296300.0,100469.252392464,729.8029556650247,247.46121278932017
238,Lapu-Lapu City,Condominium,10.3234104,124.0373611,107.0,421317.7570093458,405953.67538570723,7000.0,414317.7570093458,398953.67538570723,5918.825100133512,5699.338219795818
241,Cebu City,Condominium,10.3317837,123.9085533,104.0,240384.61538461535,223815.73669313965,28800.0,211584.61538461535,195015.73669313965,734.6688034188033,677.1379746289571
242,Minglanilla,Condominium,10.24622,123.783387,42.0,105670.80952380953,130673.26996196984,7000.0,98670.80952380953,123673.26996196984,1409.582993197279,1766.760999456712
247,Lapu-Lapu City,Condominium,10.3100786,124.0233764,160.0,112500.0,163758.2265188715,7000.0,105500.0,156758.2265188715,1507.142857142857,2239.4032359838784
248,Lapu-Lapu City,Condominium,10.3077641,124.0135564,37.0,124324.32432432432,166159.2275961643,5000.0,119324.32432432432,161159.2275961643,2386.4864864864862,3223.184551923286
249,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,219443.36,103265.24865803578,10000.0,209443.36,93265.24865803578,2094.4336,932.6524865803577
250,Cebu City,Condominium,10.3328036,123.9090696,56.0,178571.42857142858,197908.95471906514,28800.0,149771.42857142858,169108.95471906514,520.0396825396826,587.1838705523095
251,Lapu-Lapu City,Condominium,10.323479,124.0367989,101.0,402784.9801980198,376248.74288596463,7000.0,395784.9801980198,369248.74288596463,5654.071145685997,5274.982041228066
255,Cebu City,Condominium,10.315699,123.885437,27.0,138882.40740740742,152119.1025404529,23700.0,115182.40740740742,128419.1025404529,486.00171901859665,541.8527533352443
258,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,217919.4,103265.24865803578,10000.0,207919.4,93265.24865803578,2079.194,932.6524865803577
260,Lapu-Lapu City,Condominium,10.28410958,123.97552209,30.0,163483.86666666667,99270.03368665368,10000.0,153483.86666666667,89270.03368665368,1534.8386666666665,892.7003368665368
