hub_id,place_id,name,types,lat,lon,rating,vicinity
cebu_business_park,ChIJ2291tQCZqTMRa-8yC_gvJCA,Ray Manpower Services,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3155697,123.9016077,1.7,"10 yrs + in business UNIT 1503 TRINITY PLAZA TOWER, 328h Gonzales Compound, Cebu City"
cebu_business_park,ChIJNbWg2EOZqTMROqYwjOqikwI,National Conciliation and Mediation Board,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.310913,123.90432,,"Dole VII Building, Gen. Maxilom Avenue Corner Gorordo Avenue, Camputhan, Cebu City"
cebu_business_park,ChIJMRipJDiZqTMRhL-0gv4r9io,Kamputhaw Barangay Hall,"[""city_hall"", ""local_government_office"", ""point_of_interest"", ""establishment""]",10.3181587,123.8975095,3.7,"15 North Escario Street, Cebu City"
cebu_business_park,ChIJD0mbfxiZqTMRA5rc4ukK0Z0,National Irrigation Administration,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3272629,123.9081415,5.0,"M. Cuenco Avenue , Banilad , 6000 Cebu City , Cebu"
cebu_business_park,ChIJw6EjnhiZqTMRvtRYB1SBscU,"National Food Authority, Region 7 (NFA R-VII)","[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3279372,123.9083009,3.8,"8WH5+58F, Cebu City"
cebu_business_park,ChIJ46lpHTCZqTMRrVWMCbrFj7k,Department of Budget and Management - Region 7,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3262559,123.896099,4.7,"Regional Office, 07 Ecotecard, Cebu City"
cebu_business_park,ChIJBUjjFkWZqTMRCTlPj1QD-Ao,Mother Butler Mission Guides,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.30814,123.898834,,"8V5X+7G4, Dionisio Jakosalem Street, Cebu City"
cebu_business_park,ChIJ-0z_4EmZqTMRe6fQcail0Ts,Department of Energy - Visayas Field Office,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3170287,123.8925739,4.5,"Escario Building, 0735 North Escario Street, Cebu City"
cebu_business_park,ChIJX7o67C-ZqTMRtwIUdgO_fB8,Department of Environment and Natural Resources Regional Office 7,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.327405,123.895963,4.2,"8VGW+X98, Ecotech Road, Cebu City"
cebu_business_park,ChIJsTl8xyKZqTMRm7ZDSIKL0LY,Technical Education and Skills Development Authority - Regional Office VII,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3260923,123.9063969,4.2,"487 Salinas Drive, Cebu City"
cebu_business_park,ChIJuaVc1mmZqTMR-P2JLb-xFmk,Bureau of Quarantine,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.308392,123.908158,3.5,"8W55+973, General Maxilom Avenue, Cebu City"
cebu_business_park,ChIJFRRDVHeZqTMRLR7xGjjl-Pc,"BLS Poland, Spain & Slovakia Visa Application Center in Cebu","[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3194053,123.9059678,5.0,"Cebu Business Park, Unit 707, Ayala Life FGU Center, Mindanao Avenue, Corner Biliran Road, Cebu City"
cebu_business_park,ChIJhT0Wq7SeqTMRM3a6TUSH4Xo,Securities and Exchange Commission - Cebu Extension Office,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3186687,123.9069565,3.4,"AppleOne Equicom Tower, Cebu Business Park, Mindanao Avenue, Cebu City"
cebu_business_park,ChIJ32zt1gKZqTMRiohNNuISXFg,TLScontact - Visa Application Centre Cebu,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3205946,123.9050241,4.5,"12th floor, Latitude Corporate Center, Mindanao Avenue, Cebu City"
cebu_business_park,ChIJHzGn0z-ZqTMRk43xsCrukTI,"Pryce Plans, Inc.","[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3175735,123.9076091,,"301, Cebu Holdings Center, Cardinal Rosales Avenue, Cebu City"
