property_id,price_type,property_name,address,city,property_type,latitude,longitude,price_php,price_per_sqm,log_price,valuation_gap,area_sqm,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_airport_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite,bir_zonal_rr_median,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
2042,open_market,Land For Sale in Nangka,"V&G Subdivision, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.37343,123.9617626,2700000.0,19285.714285714286,9.867119908365254,16885.714285714286,140.0,10916.9,8306.3,9516.1,17625.4,21923.6,1465.5,31440.3,7602.8,3174,550,12.4101,26.9753,73.9726,2.4167,88.6532,1.8574,44.4329,147.9132,34.5348,2400.0,7.783640596221253,,0,45483333.0
2055,open_market,Residential Lot For Sale in Poblacion Occidental,"Poblacion Oriental, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Vacant Lot,10.37462794,123.9540553,6262000.0,14264.236902050114,9.565510767793317,9264.236902050114,439.0,10102.4,7491.8,8701.6,16810.9,21109.1,1901.0,30625.9,7979.4,4113,151,22.4349,27.9338,76.2004,1.4559,42.6066,5.1878,16.9749,140.7675,29.1242,5000.0,8.517393171418904,4000.0,0,13959125.0
2056,open_market,Land For Sale in Casili,"Royale Cebu Estates, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.3746152,123.9540625,7260000.0,22000.0,9.998797732340453,17000.0,330.0,10102.4,7491.8,8701.6,16810.9,21109.1,1901.0,30625.9,7977.8,4113,151,22.4349,27.9338,76.2004,1.4559,42.6066,5.1878,16.9749,140.7675,29.1242,5000.0,8.517393171418904,4000.0,0,13896750.0
2057,open_market,Land For Sale in Casili,"Royale Cebu Estates, Consolacion, Cebu, Pilipinas",Consolacion,Vacant Lot,10.3746152,123.9540625,8000000.0,22160.6648199446,10.00607414131123,17160.6648199446,361.0,10102.4,7491.8,8701.6,16810.9,21109.1,1901.0,30625.9,7977.8,4113,151,22.4349,27.9338,76.2004,1.4559,42.6066,5.1878,16.9749,140.7675,29.1242,5000.0,8.517393171418904,4000.0,0,13850500.0
2059,open_market,Residential Lot For Sale in Poblacion Occidental,"Royale Cebu Estate Tennis Court, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.3750413,123.9533135,9681000.0,21000.0,9.95227771670556,16000.0,461.0,10142.1,7531.5,8741.3,16850.6,21148.8,1941.1,30665.5,8050.6,4153,191,21.6449,26.6252,71.4577,1.3794,39.583,4.5486,15.8192,129.0191,27.6484,5000.0,8.517393171418904,4000.0,0,7636133.0
2063,open_market,Residential Lot For Sale in Tawason,"Vera Estates, NS Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3754011,123.9285627,15010000.0,45484.84848484849,10.72513454914912,40609.84848484849,330.0,8040.1,5590.5,10188.8,15774.4,20072.6,5754.0,29589.4,9378.5,6323,3131,8.9481,8.6975,3.883,0.2981,5.4922,0.6773,3.583,4.6564,8.2197,4875.0,8.492080490601163,7820.0,0,12479375.0
2064,open_market,Land For Sale in Casili,"Vista Montana Subdivision, Casili Road, Cubacub, Mandaue, Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3753649,123.9363872,3565000.0,18282.05128205128,9.813675053266786,8512.051282051281,195.0,9186.5,5508.2,9321.4,16847.7,21145.9,4856.6,30662.7,8898.6,5430,2238,7.3793,3.2737,1.8984,0.2629,4.227,0.0,3.5321,3.3331,5.3664,9770.0,9.187174093944344,15750.0,0,13621500.0
2069,open_market,Land For Sale in Casili,"Casili Mandaue, Mandaue City, Cebu, Central Visayas, PHL",Mandaue City,Vacant Lot,10.37565371,123.93614966,61605000.0,45000.0,10.714417768752456,35230.0,1369.0,9213.3,5535.0,9348.2,16874.5,21172.7,4883.4,30689.4,8939.6,5457,2265,7.4918,3.2918,1.8802,0.2616,4.0656,0.0,3.4616,3.6843,5.387,9770.0,9.187174093944344,15750.0,0,3948167.0
2074,open_market,Residential Lot For Sale in Busay,"H I G H L A N D S D E B U S A Y, Cebu Tops Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Vacant Lot,10.3766494,123.8740508,26600000.0,100000.0,11.512925464970229,91500.0,266.0,10384.7,10833.7,17481.4,17894.9,22193.1,16268.7,31709.8,13835.6,11895,498,1.0121,1.8311,0.0,0.0,3.9233,0.0,0.3091,9.1159,1.9551,8500.0,9.04793908261736,5500.0,0,25000000.0
2079,open_market,Residential Lot For Sale in Tawason,"PRISTINA NORTH SUBD. CLUB HOUSE, Keoladeo, Cebu City, Lalawigan ng Cebu, Pilipinas",Mandaue City,Vacant Lot,10.377766,123.9242946,32560000.0,55000.0,10.915088464214607,50125.0,592.0,8734.9,6421.9,11090.6,16469.3,20767.5,6655.9,30284.2,9868.3,7225,4033,6.6108,3.5599,1.8825,0.1745,0.7797,0.0,0.9657,0.0,4.3563,4875.0,8.492080490601163,7820.0,0,25589273.0
