property_id,source,price_type,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,geocode_source,price_outlier_flag,price_per_sqm,log_price,dist_cbd_m,dist_airport_m,dist_cbrt_nearest_m,amenity_score_education,amenity_score_health,amenity_score_finance,amenity_score_grocery,amenity_score_transport,amenity_score_security,amenity_score_composite,spatial_lag_price,bir_zonal_value,valuation_gap,dist_cebu_business_park_m,dist_it_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_minglanilla_poblacion_m,dist_minglanilla_lipata_m,barangay_geocoded,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median,bir_zonal_rr_log
610,Lamudi,ceiling,Condo For Sale in Punta Engaño,"Punta Engaño, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,67.0,1.0,1.0,31000000.0,10.3231321,124.0349024,Lamudi scraper,False,462686.5671641791,17.24949776244942,,6368.4,13747.6,3,0,0,1,0,0,0.0203,32201769.0,,,14304.4,14132.5,12638.7,9199.5,20082.9,23174.5,9784.8,32873.0,27383.9,25653.3,Punta Engaño,7000.0,13500.0,95000.0,8.853808274977197
611,Lamudi,ceiling,Land For Sale in Santa Cruz,"J. Llorente Street, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Residential,,735.0,,,115000000.0,10.3110072,123.8939863,Lamudi scraper,False,156462.5850340136,18.560442686327523,,9309.1,680.5,23,22,56,53,0,2,0.5515,22874580.0,,,1357.8,2170.6,4490.5,6283.8,5804.4,9557.6,10552.4,18765.4,12815.7,11004.8,Capitol Site,46000.0,73000.0,95000.0,10.736418414365376
612,Lamudi,ceiling,House For Sale in Cebu Business Park,"Monterrazas De Cebu, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,,468.0,5.0,3.0,54867000.0,10.319731,123.9064672,Lamudi scraper,False,117237.17948717948,17.82042263285482,,8055.5,1092.5,17,14,54,48,2,6,0.4998,26432683.0,,,318.6,780.5,2890.2,4957.7,7444.9,11181.2,8898.2,20439.1,14490.3,12679.3,Luz,51250.0,206750.0,164500.0,10.844490409005417
613,Lamudi,ceiling,Land For Sale in Labangon,"Labangon, Cebu City, Cebu, Philippines",Cebu City,Residential,,5548.0,,,554800000.0,10.2989677,123.8813181,Lamudi scraper,False,100000.0,20.134118246404952,,10724.5,403.9,12,9,3,15,0,4,0.2207,4504458.0,,,3273.0,4083.2,6412.2,7835.0,3886.6,7647.7,12479.3,16851.6,10921.7,9112.4,Labangon,20000.0,28046.0,92500.0,9.90353755128617
614,Lamudi,ceiling,Condo For Sale in Cebu,"Cogon Pardo, Cebu City, Cebu, Central Visayas, PHL",Cebu City,Condominium,,29.0,2.0,1.0,5703884.0,10.269927,123.872523,Lamudi scraper,False,196685.6551724138,15.556657904263586,,12363.2,1409.8,1,0,0,3,1,0,0.0403,344518516.0,,,6361.5,7287.0,9557.9,9901.6,1507.4,4657.3,15496.5,14283.2,8660.1,6948.8,Cogon Pardo,17500.0,21500.0,92500.0,9.770013301136158
615,Lamudi,ceiling,House For Sale in Lagtang,"Kishanta Subdivision, Lagtang, Talisay City, Cebu, Central Visayas, PHL",Talisay City,Single Detached,,609.0,7.0,6.0,45000000.0,10.27005547,123.83151904,Lamudi scraper,False,73891.62561576355,17.622173047734595,,16654.3,1737.1,5,0,0,0,0,0,0.0303,27057854.0,,,9570.2,10279.8,12598.4,13979.2,3001.2,2962.8,18694.7,10588.3,4604.4,2793.5,Lagtang,8000.0,16000.0,,8.987321812850125
616,Lamudi,ceiling,Townhouse For Sale in San Vicente,"San Vicente, Liloan, Cebu, Central Visayas, PHL",Liloan,Single Detached,,,2.0,1.0,1890000.0,10.40340077,123.9806382,Lamudi scraper,False,,14.452087387035824,,10699.7,9267.7,3,1,0,1,0,0,0.0303,4670000.0,,,12659.5,11822.8,9490.6,10480.6,19781.4,23525.2,3512.2,32629.7,26619.6,24820.2,San Vicente,2500.0,4000.0,,7.824445930877619
617,Lamudi,ceiling,Studio For Sale in Mactan,"Mactan, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Residential,,52.0,1.0,1.0,12800000.0,10.29851722,124.0156887,Lamudi scraper,False,246153.84615384616,16.364955728889846,,4129.1,12625.8,1,0,1,0,1,0,0.035,13503543.0,,,12379.4,12427.6,11419.8,7235.8,17409.5,20269.6,10365.7,29919.4,24609.3,22929.1,Mactan,5000.0,10500.0,107500.0,8.517393171418904
618,Lamudi,ceiling,House For Sale in Talamban,"Talamban, Cebu City, Cebu, Philippines",Cebu City,Single Detached,,2454.0,8.0,8.0,61350000.0,10.3670682,123.9173923,Lamudi scraper,False,25000.0,17.932105729121194,,9472.8,1615.2,6,0,7,16,1,2,0.118,25308097.0,,,5656.4,4663.7,2867.4,7006.1,12370.6,16125.7,5182.2,24830.5,18809.3,17033.8,Talamban,26375.0,68100.0,117500.0,10.180209784751566
619,Lamudi,ceiling,Condo For Sale in Cebu Business Park,"Cebu Business Park, Lungsod ng Cebu, Lalawigan ng Cebu, Pilipinas",Cebu City,Condominium,,,4.0,4.0,120000000.0,10.3173504,123.9059978,Lamudi scraper,False,,18.60300230074632,,8064.8,1280.7,16,17,48,44,2,5,0.5024,25679046.0,,,199.3,1041.7,3141.7,4979.8,7221.3,10949.7,9123.5,20238.1,14299.7,12489.2,Luz,51250.0,206750.0,164500.0,10.844490409005417
620,Lamudi,ceiling,Townhouse For Sale in Cebu,"San Jose Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Single Detached,,115.0,3.0,2.0,6500000.0,10.3757455,123.9152302,Lamudi scraper,False,56521.739130434784,15.687312734865866,,10332.3,2518.8,7,1,5,5,0,2,0.0803,20624970.0,,,6546.7,5549.3,3856.7,7955.6,13092.7,16830.9,5311.8,25366.4,19351.8,17594.4,Talamban,26375.0,68100.0,117500.0,10.180209784751566
621,Lamudi,ceiling,Condo For Sale in Banilad,"Banilad, Mandaue, Lalawigan ng Cebu, Pilipinas",Mandaue City,Condominium,,35.0,2.0,1.0,25000.0,10.341872,123.9178507,Lamudi scraper,True,714.2857142857143,10.126631103850338,,7720.5,922.0,18,6,22,25,0,0,0.2492,20053128.0,,,3055.6,2142.0,334.6,4825.4,10109.9,13868.0,6331.2,22956.3,16960.0,15154.0,Banilad,16115.0,22350.0,102500.0,9.687567846311238
622,Lamudi,ceiling,Offices For Sale in Kasambagan,"Salinas Drive, Luz, Cebu City, Cebu, Central Visayas, PHL",Cebu City,Residential,,102.0,,,16900000.0,10.32748553,123.90513439,Lamudi scraper,False,165686.27450980392,16.642824179893303,,8388.8,551.1,21,6,36,42,4,4,0.454,27734355.0,,,1073.7,109.9,2324.1,5285.9,7990.7,11750.3,8419.1,20862.2,14877.8,13068.9,Lahug,30000.0,57000.0,115000.0,10.308985993422082
