title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs,latitude,longitude,gmaps_formatted_address
"Condo For Rent in San Agustin Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-3br-unit-with-parking-for-lease-in-escala-salcedo-ad-137-ln265418,"PHP 120,000/ month","San Agustin Street, Makati City, Metro Manila",,126 m²,3,3,Available from 18 Aug,,04 Nov 13:53,Housing I.,"['PHP 120,000/ month', '/ month', 'San Agustin Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '126 m²', 'Bathrooms:', '3', 'Available from:', '18 Aug']",14.5588942,121.0222535,"San Agustin St, Bel-Air, Makati City, Metro Manila, Philippines"
"House and Lot For Rent in Quezon City, Metro Manila",https://lifenavi.com/ph/properties/quezon-city/for-rent/house-and-lot/for-rent-3br-brand-new-home-in-casa-milan-qc-ad-136-ln478759,"PHP 120,000/ month","Quezon City, Metro Manila",,320 m²,3,3,Available from 19 Aug,,04 Nov 13:53,Housing I.,"['PHP 120,000/ month', '/ month', 'Quezon City, Metro Manila', 'Bedrooms:', '3', 'Area:', '320 m²', 'Bathrooms:', '3', 'Available from:', '19 Aug']",14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines"
Condo For Rent in Makati City,https://lifenavi.com/ph/properties/makati-city/for-rent/condo/semi-furnished-3br-unit-with-parking-for-lease-in-the-residences-at-greenbelt-ad-134-ln843909,"PHP 160,000/ month","Legaspi Village, Makati City",,141 m²,3,3,Available from 14 Nov,,04 Nov 13:53,Housing I.,"['PHP 160,000/ month', '/ month', 'Legaspi Village, Makati City', 'Bedrooms:', '3', 'Area:', '141 m²', 'Bathrooms:', '3', 'Available from:', '14 Nov']",14.5692497,121.0215103,"Legaspi, Olympia, Makati City, Metro Manila, Philippines"
"Condo For Rent in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-the-residences-at-greenbelt-ad-133-ln928366,"PHP 110,000/ month","Paseo de Roxas, Makati City, Metro Manila",,110 m²,2,2,Available from 10 Apr,,04 Nov 13:53,Housing I.,"['PHP 110,000/ month', '/ month', 'Paseo de Roxas, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '110 m²', 'Bathrooms:', '2', 'Available from:', '10 Apr']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"Condo For Rent in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-wtith-balcony-and-parking-for-lease-in-the-residences-at-greenbelt-ad-132-ln213728,"PHP 125,000/ month","Paseo de Roxas, Makati City, Metro Manila",,136 m²,2,3,Available from 20 Aug,,04 Nov 13:53,Housing I.,"['PHP 125,000/ month', '/ month', 'Paseo de Roxas, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '136 m²', 'Bathrooms:', '3', 'Available from:', '20 Aug']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/unit-for-lease-in-edades-tower-and-garden-villas-ad-131-ln501762,"PHP 130,000/ month","Rockwell Drive, Makati City, Metro Manila",,97 m²,2,1,Available from 20 Aug,,04 Nov 13:53,Housing I.,"['PHP 130,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '97 m²', 'Bathrooms:', '1', 'Available from:', '20 Aug']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"Condo For Sale in Hidalgo Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/bare-2br-unit-for-sale-in-hidalgo-place-ad-130-ln555791,"PHP 68,000,000","Hidalgo Drive, Makati City, Metro Manila",,173 m²,2,1,Available from 20 Aug,,04 Nov 13:52,Housing I.,"['PHP 68,000,000', 'Hidalgo Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '173 m²', 'Bathrooms:', '1', 'Available from:', '20 Aug']",14.5638119,121.0365674,"Hidalgo Dr, Poblacion, Makati City, Metro Manila, Philippines"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-unit-for-leased-in-onerockwell-ad-129-ln575265,"PHP 110,000/ month","Rockwell Drive, Makati City, Metro Manila",,95 m²,2,1,Available from 20 Aug,,04 Nov 13:52,Housing I.,"['PHP 110,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '95 m²', 'Bathrooms:', '1', 'Available from:', '20 Aug']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"Condo For Rent in 7427a, Yakal, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-studio-in-avida-tower-asten-ad-128-ln295156,"PHP 15,000/ month","7427a, Yakal, Makati City, Kalakhang Maynila",,22 m²,Studio,1,Available from 20 Aug,,04 Nov 13:52,Housing I.,"['PHP 15,000/ month', '/ month', '7427a, Yakal, Makati City, Kalakhang Maynila', 'Bedrooms:', 'Studio', 'Area:', '22 m²', 'Bathrooms:', '1', 'Available from:', '20 Aug']",14.5607284,121.0093369,"7427a Yakal, Makati, Kalakhang Maynila, Philippines"
"Condo For Sale in Cruzada Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/bare-3br-unit-with-parking-for-sale-in-one-roxas-triangle-ad-127-ln180542,"PHP 166,500,000","Cruzada Street, Makati City, Metro Manila",,286 m²,3,3,Available from 20 Aug,,04 Nov 13:52,Housing I.,"['PHP 166,500,000', 'Cruzada Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '286 m²', 'Bathrooms:', '3', 'Available from:', '20 Aug']",14.5602124,121.0284584,"Cruzada St, Urdaneta, Makati City, Metro Manila, Philippines"
"Condo For Rent in 26th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/a-condominium-for-lease-in-two-maridien-taguig-city-ad-126-ln821377,"PHP 105,000/ month","26th Street, Taguig, Metro Manila",,99 m²,2,1,Available from 26 Aug,,04 Nov 13:52,Housing I.,"['PHP 105,000/ month', '/ month', '26th Street, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '99 m²', 'Bathrooms:', '1', 'Available from:', '26 Aug']",14.5479522,121.050241,"26th St, Taguig, Metro Manila, Philippines"
"House and Lot For Sale in 22, San Felipe, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/house-and-lot/house-for-sale-in-magallanes-village-ad-125-ln952644,"PHP 127,650,000","22, San Felipe, Makati City, Kalakhang Maynila, 1232",,350 m²,Studio,1,Available from 27 Aug,,04 Nov 13:52,Housing I.,"['PHP 127,650,000', '22, San Felipe, Makati City, Kalakhang Maynila, 1232', 'Bedrooms:', 'Studio', 'Area:', '350 m²', 'Bathrooms:', '1', 'Available from:', '27 Aug']",14.5368609,121.0135794,"22 San Felipe, Makati, 1232 Kalakhang Maynila, Philippines"
