title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs,latitude,longitude,gmaps_formatted_address
"Condo For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-garden-towers-ln560012,"PHP 170,000/ month","Makati City, Metro Manila",,138 m²,2,2,Available from 18 Sep,,23 Oct 11:04,Housing I.,"['PHP 170,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '138 m²', 'Bathrooms:', '2', 'Available from:', '18 Sep']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-rent-in-garden-towers-ln498823,"PHP 225,000/ month","Makati City, Metro Manila",,138 m²,2,3,Available from 19 Sep,,23 Oct 11:04,Housing I.,"['PHP 225,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '138 m²', 'Bathrooms:', '3', 'Available from:', '19 Sep']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-the-residences-at-greenbelt-ln775260,"PHP 130,000/ month","Paseo de Roxas, Makati City, Metro Manila",,123 m²,2,2,Available from 14 Aug,,23 Oct 11:04,Housing I.,"['PHP 130,000/ month', '/ month', 'Paseo de Roxas, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '123 m²', 'Bathrooms:', '2', 'Available from:', '14 Aug']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"Condo For Sale in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-sale/condo/3br-for-sale-in-grand-hyatt-residences-ln948250,"PHP 99,000,000","Taguig, Metro Manila",,207 m²,3,3,Available from 19 Sep,,23 Oct 11:04,Housing I.,"['PHP 99,000,000', 'Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '207 m²', 'Bathrooms:', '3', 'Available from:', '19 Sep']",14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"House and Lot For Sale in 1210, Kalayaan Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/house-and-lot/3br-for-sale-in-makati-ln491383,"PHP 52,000,000","1210, Kalayaan Avenue, Makati City, Metro Manila",,220 m²,3,2,Available from 19 Sep,,23 Oct 11:04,Housing I.,"['PHP 52,000,000', '1210, Kalayaan Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '220 m²', 'Bathrooms:', '2', 'Available from:', '19 Sep']",14.5672716,121.025626,"1210 Kalayaan Ave, Makati City, Metro Manila, Philippines"
Condo For Sale in Quezon City,https://lifenavi.com/ph/properties/quezon-city/for-sale/condo/3br-for-sale-in-garden-island-condoville-ln318566,"PHP 19,425,000",,,143.5 m²,3,2,Available from 22 Sep,,23 Oct 11:04,Housing I.,"['PHP 19,425,000', 'Quezon City', 'Bedrooms:', '3', 'Area:', '143.5 m²', 'Bathrooms:', '2', 'Available from:', '22 Sep']",,,
"For Rent in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/commercial/office-space-for-lease-in-makati-ln102172,PHP 770/ month,"Paseo de Roxas, Makati City, Metro Manila",,476 m²,,,Vacant,Semi-Furnished,23 Oct 11:04,Housing I.,"['PHP 770/ month', '/ month', 'Paseo de Roxas, Makati City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '476 m²', 'Available from:', '4 Aug']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"House and Lot For Sale in Parañaque, Metro Manila",https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/4br-for-sale-at-bf-homes-paranaque-ln535443,"PHP 23,000,000","Parañaque, Metro Manila, 1700",,252 m²,4,4,Available from 23 Sep,,23 Oct 11:04,Housing I.,"['PHP 23,000,000', 'Parañaque, Metro Manila, 1700', 'Bedrooms:', '4', 'Area:', '252 m²', 'Bathrooms:', '4', 'Available from:', '23 Sep']",14.4723186,121.0082,"1700 Metro Manila, Philippines"
"Condo For Rent in 98, Perea, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/2br-for-rent-in-the-shang-grand-tower-ln883279,"PHP 130,000/ month","98, Perea, Taguig, Kalakhang Maynila",,155 m²,2,2,Available from 23 Sep,,23 Oct 11:04,Housing I.,"['PHP 130,000/ month', '/ month', '98, Perea, Taguig, Kalakhang Maynila', 'Bedrooms:', '2', 'Area:', '155 m²', 'Bathrooms:', '2', 'Available from:', '23 Sep']",14.5546505,121.0215155,"98 Perea, Taguig, Kalakhang Maynila, Philippines"
"Condo For Rent in 98, Perea, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/2-br-for-rent-in-the-shang-grand-towermakati-ln648191,"PHP 130,000/ month","98, Perea, Taguig, Kalakhang Maynila",,130 m²,2,1,Available from 23 Sep,,23 Oct 11:03,Housing I.,"['PHP 130,000/ month', '/ month', '98, Perea, Taguig, Kalakhang Maynila', 'Bedrooms:', '2', 'Area:', '130 m²', 'Bathrooms:', '1', 'Available from:', '23 Sep']",14.5546505,121.0215155,"98 Perea, Taguig, Kalakhang Maynila, Philippines"
"For Rent in 44, Malunggay Road, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/commercial/office-space-for-lease-in-taguig-ln221108,PHP 700/ month,"44, Malunggay Road, Taguig, Metro Manila, 1630",,1911.97 m²,,,Vacant,Unfurnished,23 Oct 11:03,Housing I.,"['PHP 700/ month', '/ month', '44, Malunggay Road, Taguig, Metro Manila, 1630', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '1911.97 m²', 'Available from:', '23 Sep']",14.5095329,121.0494077,"44 Malunggay Rd, Taguig, 1630 Metro Manila, Philippines"
"Condo For Rent in Cruzada Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-salelease-in-two-roxas-triangle-ln498931,"PHP 430,000/ month","Cruzada Street, Makati City, Metro Manila",,304 m²,3,3,Available from 24 Sep,,23 Oct 11:03,Housing I.,"['PHP 430,000/ month', '/ month', 'Cruzada Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '304 m²', 'Bathrooms:', '3', 'Available from:', '24 Sep']",14.5602124,121.0284584,"Cruzada St, Urdaneta, Makati City, Metro Manila, Philippines"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-one-rockwell-east-tower-makati-ln318839,"PHP 170,000/ month","Rockwell Drive, Makati City, Metro Manila",,150 m²,2,3,Available from 24 Sep,,23 Oct 11:03,Housing I.,"['PHP 170,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '150 m²', 'Bathrooms:', '3', 'Available from:', '24 Sep']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"Condo For Rent in 14F, West Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-park-terraces-makati-ln750653,"PHP 160,000/ month","14F, West Street, Makati City, Metro Manila",,110 m²,2,2,Available from 24 Sep,,23 Oct 11:03,Housing I.,"['PHP 160,000/ month', '/ month', '14F, West Street, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '110 m²', 'Bathrooms:', '2', 'Available from:', '24 Sep']",14.5506199,121.0237574,"14F West St, Makati City, Metro Manila, Philippines"
"Condo For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-east-gallery-place-bgc-ln382449,"PHP 250,000/ month","Makati City, Metro Manila",,140 m²,2,2,Available from 24 Sep,,23 Oct 11:03,Housing I.,"['PHP 250,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '140 m²', 'Bathrooms:', '2', 'Available from:', '24 Sep']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in 1634, McKinley Parkway, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-rentsale-in-arya-residences-ln459234,"PHP 149,000/ month","1634, McKinley Parkway, Makati City, Metro Manila",,118 m²,2,3,Available from 24 Sep,,23 Oct 11:03,Housing I.,"['PHP 149,000/ month', '/ month', '1634, McKinley Parkway, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '118 m²', 'Bathrooms:', '3', 'Available from:', '24 Sep']",14.5470464,121.0546286,"Sm Aura Premier, 1634 McKinley Pkwy, Makati City, Metro Manila, Philippines"
"House and Lot For Sale in Magallanes, Calabarzon",https://lifenavi.com/ph/properties/magallanes/for-sale/house-and-lot/4br-for-sale-in-cavite-ln988859,"PHP 100,000,000","Magallanes, Calabarzon",,10000 m²,4,4,Available from 24 Sep,,23 Oct 11:03,Housing I.,"['PHP 100,000,000', 'Magallanes, Calabarzon', 'Bedrooms:', '4', 'Area:', '10000 m²', 'Bathrooms:', '4', 'Available from:', '24 Sep']",14.158284,120.7464897,"Magallanes, Cavite, Philippines"
"Villa compound For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/villa-compound/1br-for-rent-garden-towers-ln436007,"PHP 85,000/ month","Makati City, Metro Manila",,69 m²,1,1,Available from 25 Sep,,23 Oct 11:03,Housing I.,"['PHP 85,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '69 m²', 'Bathrooms:', '1', 'Available from:', '25 Sep']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in #2811, 26th Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-rent-in-verve-residencesbgc-ln125423,"PHP 170,000/ month","#2811, 26th Street, Makati City, Metro Manila, 1630",,129 m²,2,2,Available from 25 Sep,,23 Oct 11:03,Housing I.,"['PHP 170,000/ month', '/ month', '#2811, 26th Street, Makati City, Metro Manila, 1630', 'Bedrooms:', '2', 'Area:', '129 m²', 'Bathrooms:', '2', 'Available from:', '25 Sep']",14.5486671,121.0493115,"G2XX+FMQ Verve, Tower 1, #2811 26th St, Makati City, 1630 Metro Manila, Philippines"
"Condo For Rent in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-rent-in-the-veranda-at-arca-south-ln147136,"PHP 100,000/ month","Taguig, Metro Manila, 1630",,121 m²,3,3,Available from 25 Sep,,23 Oct 11:03,Housing I.,"['PHP 100,000/ month', '/ month', 'Taguig, Metro Manila, 1630', 'Bedrooms:', '3', 'Area:', '121 m²', 'Bathrooms:', '3', 'Available from:', '25 Sep']",14.5094544,121.0380542,"Taguig, 1630 Metro Manila, Philippines"
"Condo For Rent in 2021, 9th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/4br-for-lease-in-uptown-ritz-residence-ln392642,"PHP 300,000/ month","2021, 9th Avenue, Makati City, Metro Manila",,188 m²,4,5,Available from 25 Sep,,23 Oct 11:03,Housing I.,"['PHP 300,000/ month', '/ month', '2021, 9th Avenue, Makati City, Metro Manila', 'Bedrooms:', '4', 'Area:', '188 m²', 'Bathrooms:', '5', 'Available from:', '25 Sep']",14.5574837,121.0537185,"2021 9th Ave, Makati City, Metro Manila, Philippines"
"Condo For Rent in McKinley Hill Drive, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-rent-in-park-avenue-ln575961,"PHP 135,000/ month","McKinley Hill Drive, Taguig, Metro Manila",,110 m²,3,3,Available from 25 Sep,,23 Oct 11:03,Housing I.,"['PHP 135,000/ month', '/ month', 'McKinley Hill Drive, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '110 m²', 'Bathrooms:', '3', 'Available from:', '25 Sep']",14.5371778,121.0553155,"McKinley Hill Dr, Pinagsama, Taguig, Metro Manila, Philippines"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-rent-in-one-rockwell-east-ln329973,"PHP 145,000/ month","Rockwell Drive, Makati City, Metro Manila",,139 m²,3,3,Available from 26 Sep,,23 Oct 11:03,Housing I.,"['PHP 145,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '139 m²', 'Bathrooms:', '3', 'Available from:', '26 Sep']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"Condo For Rent in Meralco Avenue Flyover, Pasig",https://lifenavi.com/ph/properties/pasig/for-rent/condo/2br-for-rent-in-renaissance-3000-ln953500,"PHP 130,000/ month","Meralco Avenue Flyover, Pasig, Metro Manila",,192 m²,2,2,Available from 26 Sep,,23 Oct 11:03,Housing I.,"['PHP 130,000/ month', '/ month', 'Meralco Avenue Flyover, Pasig, Metro Manila', 'Bedrooms:', '2', 'Area:', '192 m²', 'Bathrooms:', '2', 'Available from:', '26 Sep']",14.5845969,121.0638166,"Meralco Ave Flyover, Pasig, Metro Manila, Philippines"
"Condo For Rent in Legazpi City, Bicol",https://lifenavi.com/ph/properties/legazpi-city/for-rent/condo/2br-for-leasesale-in-garden-towers-ln755054,"PHP 140,000/ month","Legazpi City, Bicol",,137 m²,2,2,Available from 26 Sep,,23 Oct 11:03,Housing I.,"['PHP 140,000/ month', '/ month', 'Legazpi City, Bicol', 'Bedrooms:', '2', 'Area:', '137 m²', 'Bathrooms:', '2', 'Available from:', '26 Sep']",13.1128837,123.7629465,"Legazpi City, Albay, Philippines"
"Condo For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-rent-in-east-gallery-place-ln419710,"PHP 310,000/ month","Makati City, Metro Manila",,193 m²,3,1,Available from 25 Sep,,23 Oct 11:03,Housing I.,"['PHP 310,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '193 m²', 'Bathrooms:', '1', 'Available from:', '25 Sep']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in Bayani Road, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/2br-for-lease-in-uptown-parksuites-ln338288,"PHP 125,000/ month","Bayani Road, Taguig, Metro Manila, 1630",,83 m²,2,3,Available from 15 Sep,,23 Oct 11:03,Housing I.,"['PHP 125,000/ month', '/ month', 'Bayani Road, Taguig, Metro Manila, 1630', 'Bedrooms:', '2', 'Area:', '83 m²', 'Bathrooms:', '3', 'Available from:', '15 Sep']",14.5250291,121.044492,"Bayani Rd, Taguig, 1630 Metro Manila, Philippines"
"Condo For Rent in 168, Valero, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/4br-for-leasesale-in-forbes-tower-ln694115,"PHP 420,000/ month","168, Valero, Makati City, Metro Manila",,541 m²,4,4,Available from 26 Sep,,23 Oct 11:03,Housing I.,"['PHP 420,000/ month', '/ month', '168, Valero, Makati City, Metro Manila', 'Bedrooms:', '4', 'Area:', '541 m²', 'Bathrooms:', '4', 'Available from:', '26 Sep']",14.559814,121.0256452,"Forbes Tower Condominium, 168 Valero, Makati City, Metro Manila, Philippines"
"Condo For Rent in Upper McKinley Hill, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/2br-for-leasesale-in-the-venice-luxury-residences-ln460263,"PHP 100,000/ month","Upper McKinley Hill, Taguig, Metro Manila, 1630",,119.5 m²,2,2,Available from 26 Sep,,23 Oct 11:03,Housing I.,"['PHP 100,000/ month', '/ month', 'Upper McKinley Hill, Taguig, Metro Manila, 1630', 'Bedrooms:', '2', 'Area:', '119.5 m²', 'Bathrooms:', '2', 'Available from:', '26 Sep']",14.5356146,121.0464711,"Upper McKinley Hl, Taguig, 1630 Metro Manila, Philippines"
"Condo For Rent in Nexus Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-rent-in-arbor-lanes-ln521145,"PHP 100,000/ month","Nexus Street, Taguig, Metro Manila, 1630",,174 m²,3,3,Available from 26 Sep,,23 Oct 11:03,Housing I.,"['PHP 100,000/ month', '/ month', 'Nexus Street, Taguig, Metro Manila, 1630', 'Bedrooms:', '3', 'Area:', '174 m²', 'Bathrooms:', '3', 'Available from:', '26 Sep']",14.5041351,121.0483108,"Nexus St, Western Bicutan, Taguig, 1630 Metro Manila, Philippines"
"Condo For Rent in 146, H.V. Dela Costa, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-rent-in-splendido-gardens-ln939499,"PHP 130,000/ month","146, H.V. Dela Costa, Makati City, Metro Manila, 1231",,290.24 m²,3,1,Available from 30 Sep,,23 Oct 11:03,Housing I.,"['PHP 130,000/ month', '/ month', '146, H.V. Dela Costa, Makati City, Metro Manila, 1231', 'Bedrooms:', '3', 'Area:', '290.24 m²', 'Bathrooms:', '1', 'Available from:', '30 Sep']",14.5608044,121.0193721,"Splendido Gardens, Salcedo Village, 146 H.V. Dela Costa, Makati City, 1231 Metro Manila, Philippines"
"Condo For Rent in 98, Perea, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/1br-for-lease-in-the-shang-grand-tower-ln249113,"PHP 80,000/ month","98, Perea, Taguig, Kalakhang Maynila",,80 m²,1,1,Available from 15 Sep,,23 Oct 11:02,Housing I.,"['PHP 80,000/ month', '/ month', '98, Perea, Taguig, Kalakhang Maynila', 'Bedrooms:', '1', 'Area:', '80 m²', 'Bathrooms:', '1', 'Available from:', '15 Sep']",14.5546505,121.0215155,"98 Perea, Taguig, Kalakhang Maynila, Philippines"
"Condo For Sale in 2nd Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-for-sale-in-the-fort-residences-ln749394,"PHP 36,000,000","2nd Avenue, Makati City, Kalakhang Maynila",,150 m²,3,3,Available from 30 Sep,,23 Oct 11:02,Housing I.,"['PHP 36,000,000', '2nd Avenue, Makati City, Kalakhang Maynila', 'Bedrooms:', '3', 'Area:', '150 m²', 'Bathrooms:', '3', 'Available from:', '30 Sep']",14.5537656,121.0447173,"2nd Ave, Makati City, Metro Manila, Philippines"
"Condo For Rent in 98, Perea, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/1br-for-rent-in-the-shang-grand-tower-ln149417,"PHP 60,000/ month","98, Perea, Taguig, Kalakhang Maynila",,88 m²,1,2,Available from 1 Oct,,23 Oct 11:02,Housing I.,"['PHP 60,000/ month', '/ month', '98, Perea, Taguig, Kalakhang Maynila', 'Bedrooms:', '1', 'Area:', '88 m²', 'Bathrooms:', '2', 'Available from:', '1 Oct']",14.5546505,121.0215155,"98 Perea, Taguig, Kalakhang Maynila, Philippines"
"Condo For Rent in 36th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/1br-for-lease-in-the-seasons-residences-ln193486,"PHP 95,000/ month","36th Street, Taguig, Metro Manila",,52 m²,1,1,Available from 1 Oct,,23 Oct 11:02,Housing I.,"['PHP 95,000/ month', '/ month', '36th Street, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '52 m²', 'Bathrooms:', '1', 'Available from:', '1 Oct']",14.5570618,121.0543771,"36th St, Taguig, Metro Manila, Philippines"
"Condo For Rent in 1, 8th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-uptown-parksuites-ln668756,"PHP 120,000/ month","1, 8th Avenue, Makati City, Metro Manila",,89 m²,3,3,Available from 5 Sep,,23 Oct 11:02,Housing I.,"['PHP 120,000/ month', '/ month', '1, 8th Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '89 m²', 'Bathrooms:', '3', 'Available from:', '5 Sep']",14.5582756,121.0534794,"Uptown Parksuites, Tower, 1 8th Avenue, Makati City, Metro Manila, Philippines"
"Condo For Rent in corner, Meralco Avenue, Pasig",https://lifenavi.com/ph/properties/pasig/for-rent/condo/3brfor-lease-in-avantgarde-ortigas-center-ln164946,"PHP 150,000/ month","corner, Meralco Avenue, Ortigas Center, Pasig, Metro Manila",,290 m²,3,3,Available from 1 Oct,,23 Oct 11:02,Housing I.,"['PHP 150,000/ month', '/ month', 'corner, Meralco Avenue, Ortigas Center, Pasig, Metro Manila', 'Bedrooms:', '3', 'Area:', '290 m²', 'Bathrooms:', '3', 'Available from:', '1 Oct']",14.5819242,121.0635953,"Meralco Ave, Ortigas Center, Pasig, Metro Manila, Philippines"
"Condo For Rent in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-rent/condo/1br-for-rent-in-the-seasons-residences-ln793913,"PHP 95,000/ month","Taguig, Metro Manila",,62 m²,1,1,Available from 3 Oct,,23 Oct 11:02,Housing I.,"['PHP 95,000/ month', '/ month', 'Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '62 m²', 'Bathrooms:', '1', 'Available from:', '3 Oct']",14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"Land only For Sale in 51, Imperial, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/land-only/lot-for-sale-in-cubao-quezon-ln372392,"PHP 65,365,000","51, Imperial, Quezon City, Metro Manila",,769 m²,Studio,1,Available from 6 Oct,,23 Oct 11:02,Housing I.,"['PHP 65,365,000', '51, Imperial, Quezon City, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '769 m²', 'Bathrooms:', '1', 'Available from:', '6 Oct']",14.625805,121.051777,"51 Imperial, Quezon City, Metro Manila, Philippines"
"Condo For Rent in cor, 3rd Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-rent-the-suites-ln121912,"PHP 400,000/ month","cor, 3rd Avenue, Taguig, Metro Manila",,237 m²,3,2,Available from 6 Oct,,23 Oct 11:02,Housing I.,"['PHP 400,000/ month', '/ month', 'cor, 3rd Avenue, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '237 m²', 'Bathrooms:', '2', 'Available from:', '6 Oct']",14.484207,121.0512433,"3rd Ave, Bagumbayan, Taguig, Metro Manila, Philippines"
"Condo For Rent in cor, 3rd Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/2br-for-rent-the-suites-bgc-ln319432,"PHP 280,000/ month","cor, 3rd Avenue, Taguig, Metro Manila",,185 m²,2,2,Available from 6 Oct,,23 Oct 11:02,Housing I.,"['PHP 280,000/ month', '/ month', 'cor, 3rd Avenue, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '185 m²', 'Bathrooms:', '2', 'Available from:', '6 Oct']",14.484207,121.0512433,"3rd Ave, Bagumbayan, Taguig, Metro Manila, Philippines"
"Condo For Rent in Cor, McKinley Parkway, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-sale-in-aurelia-residences-ln637276,"PHP 220,000,000/ month","Cor, McKinley Parkway, Taguig, Metro Manila",,339 m²,3,4,Available from 2 Sep,,23 Oct 11:02,Housing I.,"['PHP 220,000,000/ month', '/ month', 'Cor, McKinley Parkway, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '339 m²', 'Bathrooms:', '4', 'Available from:', '2 Sep']",14.5466094,121.0495555,"McKinley Pkwy, Taguig, Metro Manila, Philippines"
"Land only For Sale in Calamba, Calabarzon",https://lifenavi.com/ph/properties/calamba/for-sale/land-only/lot-for-sale-in-ayala-greenfield-estates-ln931089,"PHP 19,800,000","Calamba, Calabarzon, 4027",,440 m²,1,1,Available from 7 Oct,,23 Oct 11:02,Housing I.,"['PHP 19,800,000', 'Calamba, Calabarzon, 4027', 'Bedrooms:', '1', 'Area:', '440 m²', 'Bathrooms:', '1', 'Available from:', '7 Oct']",14.1876261,121.1250751,"Calamba, 4027, Philippines"
"Condo For Rent in Camino Verde Road, Pasig",https://lifenavi.com/ph/properties/pasig/for-rent/condo/2br-for-rent-in-royalton-in-capitol-commons-ln558182,"PHP 115,000/ month","Camino Verde Road, Pasig, Metro Manila",,115 m²,2,2,Available from 7 Oct,,23 Oct 11:02,Housing I.,"['PHP 115,000/ month', '/ month', 'Camino Verde Road, Pasig, Metro Manila', 'Bedrooms:', '2', 'Area:', '115 m²', 'Bathrooms:', '2', 'Available from:', '7 Oct']",14.5755384,121.0632839,"Camino Verde Rd, Oranbo, Pasig, Metro Manila, Philippines"
"House and Lot For Sale in Talisay, Calabarzon",https://lifenavi.com/ph/properties/talisay/for-sale/house-and-lot/3br-for-sale-in-the-woodlands-tagaytay-highlands-ln295834,"PHP 85,000,000","Talisay, Calabarzon",,301.95 m²,3,3,Available from 8 Oct,,23 Oct 11:02,Housing I.,"['PHP 85,000,000', 'Talisay, Calabarzon', 'Bedrooms:', '3', 'Area:', '301.95 m²', 'Bathrooms:', '3', 'Available from:', '8 Oct']",14.0928479,121.0216641,"Talisay, Batangas, Philippines"
"Condo For Sale in Residential Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-for-sale-in-rizal-tower-ln184803,"PHP 115,000,000","Residential Drive, Makati City, Metro Manila",,286 m²,3,3,Available from 10 Oct,,23 Oct 11:02,Housing I.,"['PHP 115,000,000', 'Residential Drive, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '286 m²', 'Bathrooms:', '3', 'Available from:', '10 Oct']",14.5643927,121.0346768,"Residential Dr, Poblacion, Makati City, Metro Manila, Philippines"
"Condo For Rent in 4th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-pacific-plaza-towers-ln504596,"PHP 290,000/ month","4th Avenue, Makati City, Metro Manila",,298 m²,3,3,Available from 5 Sep,,23 Oct 11:02,Housing I.,"['PHP 290,000/ month', '/ month', '4th Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '298 m²', 'Bathrooms:', '3', 'Available from:', '5 Sep']",14.5510552,121.0466919,"4th Ave, Makati City, Metro Manila, Philippines"
"Condo For Rent in 21st Drive, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-rent-in-the-regent-parkway-ln402109,"PHP 400,000/ month","21st Drive, Taguig, Metro Manila",,524 m²,3,3,Available from 13 Oct,,23 Oct 11:02,Housing I.,"['PHP 400,000/ month', '/ month', '21st Drive, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '524 m²', 'Bathrooms:', '3', 'Available from:', '13 Oct']",14.5435527,121.0470669,"21st Dr, Post Proper Southside, Taguig, Metro Manila, Philippines"
"Condo For Sale in 146, L.P. Leviste Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-for-sale-in-alfaro-place-ln563995,"PHP 13,000,000","146, L.P. Leviste Street, Makati City, Metro Manila",,91.56 m²,3,2,Available from 13 Oct,,23 Oct 11:02,Housing I.,"['PHP 13,000,000', '146, L.P. Leviste Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '91.56 m²', 'Bathrooms:', '2', 'Available from:', '13 Oct']",14.559546,121.0237445,"H25F+VF8 Alfaro plaza, Salcedo Village, 146 L.P. Leviste Street, Makati City, 1800 Metro Manila, Philippines"
"House and Lot For Rent in Mayuga Street, Parañaque",https://lifenavi.com/ph/properties/paranaque/for-rent/house-and-lot/4br-for-lease-in-paranaque-ln503113,"PHP 180,000/ month","Mayuga Street, Parañaque, Metro Manila",,160 m²,4,3,Available from 13 Oct,,23 Oct 11:02,Housing I.,"['PHP 180,000/ month', '/ month', 'Mayuga Street, Parañaque, Metro Manila', 'Bedrooms:', '4', 'Area:', '160 m²', 'Bathrooms:', '3', 'Available from:', '13 Oct']",14.5053481,120.9930173,"Mayuga St, Don Galo, Parañaque, Metro Manila, Philippines"
