id,lat,lon,amenity_type,amenity,lgu
ChIJ53w8JCedqTMRltlCU42FRi0,10.2915289,123.8800922,pharmacy,WATSONS GAISANO GRAND MALL JAI ALAI,Cebu City
ChIJ_SwZ6k6ZqTMRj8DTLDKYquo,10.3108563,123.8930538,pharmacy,WATSONS MA. CRISTINA BLDG,Cebu City
ChIJCVoOBEyZqTMRLY6LH4Q526I,10.310899,123.8917749,pharmacy,WATSONS ROBINSONS CYBERGATE CEBU,Cebu City
ChIJfxdXbGaZqTMR0cC3FAfZu5Q,10.3046812,123.9113578,pharmacy,WATSONS ROBINSONS GALLERIA CEBU,Cebu City
ChIJJaGCLwGZqTMRXfcBwTyeLeI,10.3125,123.91711,pharmacy,WATSONS SM CITY CEBU RELOCATION,Cebu City
ChIJLw-57RadqTMRq6miJdKhr6Q,10.2820741,123.8813908,pharmacy,WATSONS SM SEASIDE MALL 1,Cebu City
ChIJT7pPcAucqTMRmujvjEuifKE,10.2818458,123.8809244,pharmacy,WATSONS SM SEASIDE MALL 2,Cebu City
ChIJuy4_We-dqTMRpYXv0x5OJbc,10.282605,123.88075,pharmacy,WATSONS SM SEASIDE MALL DEPARTMENT STORE,Cebu City
ChIJOz5NE22bqTMR1tzAWldwXKk,10.2966804,123.898674,pharmacy,WATSONS THE EDEN COLON,Cebu City
ChIJOfqnVOiZqTMR3VPYgGiZP4s,10.3283134,123.9057395,pharmacy,WATSONS THE WALK ABAD ST CEBU,Cebu City
ChIJh11asryZqTMR6f8h5EKylkw,10.3283717,123.9058969,pharmacy,Watson's Pharmacy,Cebu City
ChIJ1QmF3CWZqTMR-vHv3dRqa1w,10.330471,123.89892,pharmacy,Watsons,Cebu City
ChIJGdacNgCZqTMRDb4aRNFQ-Rg,10.3180584,123.8962337,pharmacy,Watsons - Vibo,Cebu City
ChIJoW-E1_yZqTMRuyPidn76JIA,10.3300893,123.9073986,pharmacy,Watsons Ayala Malls Central Bloc,Cebu City
ChIJSTXNk1iZqTMRs8vKNni0iB8,10.2978375,123.9005939,pharmacy,Watsons pharmacy,Cebu City
ChIJ41-QPAC9qTMRxEUhLuKcFlI,10.3818172,123.9824231,pharmacy,ACV Pharmacy,Consolacion
ChIJV7Ai6aSiqTMRkqx0SqO1kdw,10.3751953,123.9601511,pharmacy,ALFAR Pharmacy,Consolacion
ChIJfYqAoaSiqTMRvu-tMxOJWKM,10.3757942,123.9586019,pharmacy,Arendain's Pharmacy & General Merchandise,Consolacion
ChIJxWG5voCjqTMR52GwosSKhE0,10.3849029,123.974908,pharmacy,BING PHARMACY- YATI LILOAN,Consolacion
ChIJS5uF6KSiqTMR_BjIDp1qji8,10.3754043,123.9602757,pharmacy,Bing Pharmacy,Consolacion
ChIJ6RM1g9-jqTMRXtMz0IeUNQo,10.3761544,123.956674,pharmacy,Biomed Pharmacy - Consolacion,Consolacion
