id,lat,lon,amenity_type,amenity,lgu
94079974,10.2987191,123.8879716,tertiary,J. Alcantara Street,Cebu City
94080156,10.3004204,123.8935494,tertiary,J. Urgello Street,Cebu City
94080239,10.3052494,123.8938116,tertiary,V. Urgello Street,Cebu City
94080405,10.3047736,123.8982269,tertiary,F. Ramos Street,Cebu City
94080468,10.3074334,123.8993133,tertiary,V. Ranudo Street,Cebu City
94080775,10.3047603,123.9041748,primary,Imus Avenue,Cebu City
94080778,10.3040611,123.9034878,primary,Imus Avenue,Cebu City
94080796,10.3021946,123.9021507,primary,Imus Avenue,Cebu City
94080798,10.3039801,123.9035955,primary,Imus Avenue,Cebu City
94080966,10.2954696,123.9009741,tertiary,Plaridel Extension,Cebu City
94080969,10.2949007,123.9042688,tertiary,Lapu-Lapu Street,Cebu City
94081019,10.2957663,123.9051208,tertiary,Jereza Street,Cebu City
94081130,10.2917787,123.9015615,tertiary,M.L. Quezon Boulevard,Cebu City
94081403,10.3080798,123.8885873,secondary,B. Rodriguez Street,Cebu City
94081414,10.3082952,123.8898066,secondary,B. Rodriguez Street,Cebu City
94081417,10.3080201,123.8875496,secondary,B. Rodriguez Street,Cebu City
94081421,10.3080117,123.8885915,secondary,B. Rodriguez Street,Cebu City
94081428,10.2996028,123.8925787,tertiary,J. Alcantara Street,Cebu City
94081431,10.2989169,123.8881964,tertiary,J. Alcantara Street,Cebu City
94081438,10.2973585,123.8898697,primary,Natalio Bacalso Avenue,Cebu City
94081443,10.2974312,123.8895197,primary,Natalio Bacalso Avenue,Cebu City
94081448,10.2973384,123.8886097,primary,Natalio Bacalso Avenue,Cebu City
94081453,10.2973159,123.8895936,primary,Natalio Bacalso Avenue,Cebu City
94081459,10.2944369,123.8938945,secondary,Colon Street,Cebu City
94498648,10.3147602,123.8941546,tertiary,Juana Osmeña Street,Cebu City
94498661,10.315394,123.893142,tertiary,Don Jose Avila Street,Cebu City
94498668,10.3133881,123.8932744,tertiary,M.P. Yap Street,Cebu City
94498670,10.3147701,123.8913414,tertiary,Don Jose Avila Street,Cebu City
95047094,10.3323714,123.8967409,tertiary,Salinas Drive Extension,Cebu City
95047096,10.3339351,123.8946197,tertiary,Salinas Drive Extension,Cebu City
95047140,10.3180435,123.9132825,tertiary,S. Cabahug Street,Cebu City
95047144,10.322079,123.9149929,tertiary,President Roxas Street,Cebu City
95188447,10.329397,123.8906679,tertiary,Justice Street,Cebu City
95188464,10.3269942,123.8889754,tertiary,Unnamed road corridor,Cebu City
95188469,10.3307492,123.8851389,tertiary,Unnamed road corridor,Cebu City
95188470,10.3285839,123.8896912,tertiary,Villalon Drive,Cebu City
95188475,10.3283584,123.8897162,tertiary,Unnamed road corridor,Cebu City
95188555,10.3349693,123.8931967,tertiary,Salinas Drive Extension,Cebu City
95188644,10.3429457,123.8896519,tertiary,Unnamed road corridor,Cebu City
95188646,10.342177,123.8891894,tertiary,Salinas Drive Extension,Cebu City
95196988,10.3271909,123.9208965,secondary,F. Cabahug Street,Cebu City
95196993,10.3244685,123.9167446,secondary,F. Cabahug Street,Cebu City
95484664,10.295968,123.9077972,tertiary,Unnamed road corridor,Cebu City
95484666,10.3089066,123.9191823,primary,Juan Luna Avenue,Cebu City
95484702,10.31349,123.9276512,tertiary,Doctor F.E. Zuellig Avenue,Cebu City
95484703,10.3135793,123.9275772,tertiary,Doctor F.E. Zuellig Avenue,Cebu City
95484704,10.3220186,123.9302269,tertiary,F.F. Cruz Avenue,Cebu City
95484706,10.3182834,123.9281534,tertiary,F.F. Cruz Avenue,Cebu City
95484707,10.3170567,123.928359,tertiary,F.F. Cruz Avenue,Cebu City
96521497,10.3198167,123.8867572,tertiary,Andres Abellana Street,Cebu City
96913616,10.2953792,123.8866304,tertiary,Carlock Street,Cebu City
96913617,10.2967647,123.8857897,secondary,Tres de Abril Street,Cebu City
96913665,10.2927501,123.9042496,secondary,M.J. Cuenco Avenue,Cebu City
96913884,10.2920262,123.9011613,tertiary,Dionisio Jakosalem Street,Cebu City
96943190,10.3417587,123.8892376,tertiary,Salinas Drive Extension,Cebu City
