bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description
Bank of Commerce,62582,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 14 Blk 9 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,217,0,2236000,residential vacant lot
Bank of Commerce,62594,Lapu-Lapu City,Residential - House and Lot,Villa Illuminada Subd,Lot 7 Blk 8 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,125,0,2922000,residential lot with improvement
Bank of Commerce,62618,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 25 Blk 9 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,135,0,1391000,residential vacant lot
Bank of Commerce,62620,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 26 Blk 9 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,136,0,1578000,residential vacant lot
Bank of Commerce,62621,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 27 Blk 9 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,136,0,1578000,residential vacant lot
Bank of Commerce,62622,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 28 Blk 9 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,136,0,1578000,residential vacant lot
Bank of Commerce,110-2021001083,Lapu-Lapu City,Residential - Condominium Unit,8 Newtown Boulevard,Unit 9C Cluster 4 9/F 8 Newtown Boulevard Mactan Newtown Brgy Mactan Lapu-Lapu City,0,49.6,7490000,condominium unit
Bank of Commerce,110-2013003030,Lapu-Lapu City,Residential - Townhouse,BF Homes,Lot 16 Blk 5 BF Homes Fuentes Road Agus Pajac Lapu-Lapu City,44,0,2997000,townhouse
Bank of Commerce,91958,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,3620-R Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,91960,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,3620-T Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
Bank of Commerce,91964,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,3620-X Villa Verna Subdivision Bo Bulacao Talisay City,100,0,1250000,residential vacant lot
