source,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,listing_url,market_segment
Lamudi,House For Sale in Minglanilla,"Tungkil minglanilla cebu, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,,,,5000000.0,10.2530882,123.8118181,https://www.lamudi.com.ph/property/41032-73-49eb9964d35d-6aef-1923e8f-a4ba-726a,open_market
Lamudi,House For Sale in Minglanilla,"Tungkil, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,135.0,4.0,3.0,7017700.0,10.2530882,123.8118181,https://www.lamudi.com.ph/property/41032-73-aa45971a52e9-2250-e15a3cde-b74a-43b3,open_market
Lamudi,House For Sale in Minglanilla,"Tungkil minglanilla cebu, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,135.0,3.0,3.0,7737014.0,10.2530882,123.8118181,https://www.lamudi.com.ph/property/41032-73-fbe20102f987-541c-194e4e5-b07d-7f2d,open_market
Lamudi,House For Sale in Minglanilla,"Pinggan Bridge, Minglanilla, Cebu, Pilipinas",Minglanilla,House and Lot,,103.0,4.0,3.0,7250000.0,10.2534424,123.8084735,https://www.lamudi.com.ph/property/41032-73-740cd235820c-6ec-1911cd2-ad42-715d,open_market
Lamudi,House For Sale in Minglanilla,"Cebu Rufrance Multigas, Cebu South Road, Linao Lipata, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,126.0,4.0,3.0,8250000.0,10.25344236,123.8084735,https://www.lamudi.com.ph/property/41032-73-7992eab24d48-abb1-5e2c6479-aeca-2048,open_market
Lamudi,House For Sale in Agus,"Crimson Resort and Spa Mactan, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,House and Lot,,300.0,3.0,3.0,35000000.0,10.25341762,124.00356665,https://www.lamudi.com.ph/property/41032-73-21fbf7de5c75-b780-e5d805c0-a5e2-48d5,open_market
Lamudi,Townhouse For Sale in Minglanilla,"Upper Linao Street, Linao Lipata, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,Townhouse,,104.0,3.0,2.0,5834950.0,10.25406387,123.81243539,https://www.lamudi.com.ph/property/41032-73-bce08ac8f2ae-d488-1917fd6-a6be-79e3,open_market
Lamudi,House For Sale in Pakigne,"194 Cebu South Road, Velpal Subdivision Phase 1, Linao Lipata, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,201.0,,,6600000.0,10.254595,123.80562,https://www.lamudi.com.ph/property/41032-73-4d559827dd66-7e5e-19c03e0-af37-731a,open_market
Lamudi,Apartment For Sale in Minglanilla,"Belmont Village Subdivision, Cebu South Road, Pakigne, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,Condominium,,323.0,8.0,8.0,22000000.0,10.2547938,123.807977,https://www.lamudi.com.ph/property/41032-73-cc8b78206173-7362-1920698-b8de-75d9,open_market
Lamudi,Condo For Sale in Subabasbas,"Costa Mira Beach Town, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,,,,711588.0,10.255105,123.9728584,https://www.lamudi.com.ph/property/41032-73-c45a46b8b07a-bfe3-19516a3-8d4e-79de,open_market
